módulo,título,pares únicos essenciais,explícitos antes,explícitos depois,termos sem tratamento equivalente na Fase 4
01,O Neurônio e o Sinal,19,4,19,dendritos; corpo celular; dependentes de voltagem; despolarização; Ca²⁺; glutamato; GABA; sinapse; neurotransmissores; receptores; neuromoduladores; noradrenalina; dopamina; serotonina; acetilcolina
02,Plasticidade e Memória,23,9,23,micróglia; neuroplasticidade; Ca²⁺; sinapse; receptores; Hebb; potenciação de longo prazo; memória de curto prazo; memória de longo prazo; expressão gênica; limiar; hipocampo; córtex; consolidação sistêmica
03,Recompensa e Motivação,12,3,12,córtex; área tegmental ventral; córtex pré-frontal; cerebelo; estriado ventral; estriado dorsal; gânglios da base; estriado; hábito
04,Decisão e Valor,15,4,15,córtex; córtex orbitofrontal; pré-frontal ventromedial; aprendizagem reversa; hipótese do marcador somático; custo de esforço; córtex cingulado anterior; aversão à perda; erro de previsão; dopamina; limiar de decisão
05,Atenção e Foco,10,2,10,top-down; bottom-up; córtex; atenção; executivo central; disparo persistente; córtex pré-frontal; alternância rápida
06,"Emoção, Estresse e Estado",16,4,16,tálamo; córtex; via rápida; via lenta; hipófise; retroalimentação negativa; U invertido; hipocampo; Yerkes-Dodson; noradrenalina; locus coeruleus; atenção
07,Sistema Nervoso Autônomo,19,2,19,hipotálamo; córtex; córtex motor; sistema nervoso autônomo; gânglio autonômico; sinapse; noradrenalina; cortisol; cadeia simpática; medula adrenal; axônio; tronco encefálico; acetilcolina; nervo vago; sistema nervoso entérico; tônus autonômico; variabilidade da frequência cardíaca
08,Sono e Consolidação,16,3,16,córtex; homeostase sináptica; memória declarativa; sono REM; sono NREM; células gliais; sistema glinfático; beta-amiloide; Processo C; adenosina; núcleo supraquiasmático; receptores; pressão do sono
09,Neuroanatomia,24,0,24,córtex; substância cinzenta; substância branca; corpo caloso; cerebelo; tronco encefálico; axônio; hipocampo; amígdala; lobo frontal; lobo parietal; lobo temporal; lobo occipital; córtex pré-frontal; lesão; tálamo; hipotálamo; gânglios da base; sistema límbico; noradrenalina; mesencéfalo; dopamina; serotonina; bulbo
10,Sistemas Sensoriais,24,1,24,limiar; fotorreceptores; mecanorreceptores; quimiorreceptores; córtex; potencial de ação; receptores; quiasma óptico; lobo occipital; retina; lobo temporal; cóclea; tonotopia; nociceptores; teoria da comporta; sistema límbico; lobo parietal; córtex somatossensorial; atenção; homúnculo; dor; leitura; lesão
11,Sistema Motor,16,3,16,córtex; bulbo; neurônio motor inferior; trato corticoespinhal; junção neuromuscular; lobo frontal; tronco encefálico; homúnculo; código de população; dopamina; Ca²⁺; unidade motora; acetilcolina
12,Desenvolvimento,15,1,15,tubo neural; vesículas; neurogênese; poda sináptica; glia radial; córtex; epilepsia; micróglia; córtex pré-frontal; mielina; períodos críticos; redes perineuronais; hipocampo; plasticidade
13,Linguagem,13,1,13,córtex; lobo frontal; córtex motor; área de Broca; área de Wernicke; atenção; afasia de condução; afasia; dissociação; lesão; períodos críticos; leitura
14,Neurociência Clínica,17,0,17,gânglios da base; lesão; tau; alfa-sinucleína; hipocampo; substância negra; lobo temporal; dopamina; doenças neurodegenerativas; penumbra; epilepsia; AVC; sistema límbico; córtex; córtex pré-frontal; neurotransmissores; plasticidade
15,Neurofarmacologia,21,3,21,barreira hematoencefálica; sinapse; GABA; noradrenalina; adenosina; benzodiazepínicos; dopamina; estimulantes; depressores; serotonina; receptores; plasticidade; antidepressivos; antipsicóticos; ISRS; dependência; abstinência; estriado dorsal
16,Métodos em Neurociência,14,6,14,optogenética; lesão; evidência convergente; hipocampo; córtex; interfaces cérebro-máquina; conectômica; replicação
